Year;Hour;Price
2021;0;255,35
2021;1;250,0
2021;2;242,76
2021;3;225,67
2021;4;220,12
2021;5;240,46
2021;6;272,4
2021;7;314,9
2021;8;330,05
2021;9;320,0
2021;10;300,97
2021;11;283,41
2021;12;270,0
2021;13;270,0
2021;14;271,02
2021;15;272,21
2021;16;282,04
2021;17;300,0
2021;18;309,3
2021;19;302,6
2021;20;290,01
2021;21;245,45
2021;22;234,93
2021;23;223,99
